SPECIMENID,YEAROFCOLLECTION,MONTH,COUNTY,SUBCOUNTY,Ward,VILLAGE,SPECIES,SEX,ABDOMENSTATUS,HOUSENO,METHODCOLLECTION,Place of Collection,SUBSPECIES,SPOROZOITESTATUS,BLOODMEASSTATUS,
1,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. gambiae,Female,Unfed,2,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
2,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. gambiae,Female,Unfed,2,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
3,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
4,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. gambiae s.s,Negative,Not applicable,
5,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
6,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
7,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,1,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
8,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,3,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
9,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,3,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
10,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,3,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
11,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,3,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
12,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,3,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
13,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,5,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
14,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,5,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
15,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,1,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
16,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,1,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
17,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,4,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
18,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,4,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
19,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,4,Mouth Aspiration,Indoors,An. leesoni,Negative,Not applicable,
20,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,4,Mouth Aspiration,Indoors,An. leesoni,Negative,Not applicable,
21,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,5,Mouth Aspiration,Indoors,An. leesoni,Negative,Not applicable,
22,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,5,Mouth Aspiration,Indoors,An. leesoni,Negative,Not applicable,
23,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,1,Mouth Aspiration,Indoors,An. leesoni,Negative,Not applicable,
24,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,1,Mouth Aspiration,Indoors,An. leesoni,Negative,Not applicable,
25,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,1,Mouth Aspiration,Indoors,An. leesoni,Negative,Not applicable,
26,2019,July,Baringo,MOGOTIO,Emining,ORERIT KURES,An. funestus,Female,Unfed,3,Mouth Aspiration,Indoors,An. leesoni,Negative,Not applicable,
27,2019,July,Baringo,MOGOTIO,Emining,KAPCHELUNY,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
28,2019,July,Baringo,MOGOTIO,Emining,KAPCHELUNY,An. funestus,Female,Unfed,1,Light Trap,Indoors,An. leesoni,Negative,Not applicable,
29,2019,July,Baringo,MOGOTIO,Emining,KAPCHELUNY,An. funestus,Female,Unfed,3,Light Trap,Indoors,An. leesoni,Negative,Not applicable,
30,2019,July,Baringo,MOGOTIO,Emining,KAPCHELUNY,An. funestus,Female,Unfed,2,Light Trap,Indoors,An. leesoni,Negative,Not applicable,
31,2019,July,Baringo,MOGOTIO,Emining,KAPCHELUNY,An. funestus,Female,Unfed,5,Light Trap,Indoors,An. leesoni,Negative,Not applicable,
32,2019,July,Baringo,MOGOTIO,Emining,KAPCHELUNY,An. funestus,Female,Unfed,1,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
33,2019,July,Baringo,MOGOTIO,Emining,KAPCHELUNY,An. funestus,Female,Unfed,1,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
34,2019,July,Baringo,MOGOTIO,Emining,KAPCHELUNY,An. funestus,Female,Unfed,2,Mouth Aspiration,Indoors,An. leesoni,Negative,Not applicable,
35,2019,July,Baringo,MOGOTIO,Emining,KAPCHELUNY,An. gambiae,Female,Unfed,2,Mouth Aspiration,Indoors,An. arabiensis,Negative,Not applicable,
36,2019,July,Baringo,MARIGUT,Marigat,KAPTICH,An. gambiae,Female,Fed,3,Light Trap,Indoors,Not Amplify,Negative,Not done,
37,2019,July,Baringo,MARIGUT,Marigat,KAPTICH,An. gambiae,Female,Fed,4,Light Trap,Indoors,An. arabiensis,Negative,Not done,
38,2019,July,Baringo,MARIGUT,Marigat,KAPTICH,An. funestus,Female,Fed,4,Light Trap,Indoors,An. leesoni,Negative,Not done,
39,2019,July,Baringo,MARIGUT,Marigat,KAPTICH,An. funestus,Female,Unfed,4,Light Trap,Indoors,An. leesoni,Negative,Not applicable,
40,2019,July,Baringo,MARIGUT,Marigat,KAPTICH,An. funestus,Female,Fed,4,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not done,
41,2019,July,Baringo,MARIGUT,Marigat,KAPTICH,An. gambiae,Female,Fed,4,Pyrethrum Spray Catch,Indoors,Not Amplify,Negative,Not done,
42,2019,July,Baringo,MARIGUT,Marigat,KAPTICH,An. gambiae,Female,Fed,2,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not done,
43,2019,July,Baringo,MARIGUT,Marigat,KAPTICH,An. gambiae,Female,Unfed,1,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not applicable,
44,2019,July,Baringo,MARIGUT,Marigat,KAPTICH,An. gambiae,Female,Unfed,1,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not applicable,
45,2019,July,Baringo,MARIGUT,Marigat,KAPTICH,An. gambiae,Female,Unfed,1,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not applicable,
46,2019,July,Baringo,MARIGUT,Marigat,KAPTICH,An. gambiae,Female,Fed,4,Mouth Aspiration,Indoors,An. arabiensis,Negative,Not done,
47,2019,July,Baringo,MARIGUT,Emining,KABIWAKULIMA,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
48,2019,July,Baringo,MARIGUT,Emining,KABIWAKULIMA,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
49,2019,July,Baringo,MARIGUT,Emining,KABIWAKULIMA,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
50,2019,July,Baringo,MARIGUT,Emining,KABIWAKULIMA,An. gambiae,Female,Unfed,2,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
51,2019,July,Baringo,MARIGUT,Emining,KABIWAKULIMA,An. gambiae,Female,Unfed,2,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
52,2019,July,Baringo,MARIGUT,Emining,KABIWAKULIMA,An. gambiae,Female,Fed,2,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not done,
53,2019,July,Baringo,MARIGUT,Emining,KABIWAKULIMA,An. gambiae,Female,Unfed,2,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not applicable,
54,2019,July,Baringo,MARIGUT,Emining,KABIWAKULIMA,An. gambiae,Female,Unfed,4,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not applicable,
55,2019,July,Baringo,MARIGUT,Emining,KABIWAKULIMA,An. gambiae,Female,Unfed,5,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not applicable,
56,2019,July,Baringo,MARIGUT,Emining,KABIWAKULIMA,An. gambiae,Female,Fed,5,Mouth Aspiration,Indoors,An. gambiae s.s,Negative,Not done,
57,2019,July,Baringo,MARIGUT,Emining,KABIWAKULIMA,An. gambiae,Female,Fed,5,Mouth Aspiration,Indoors,An. arabiensis,Negative,Not done,
58,2019,July,Baringo,MARIGUT,Emining,KABIWAKULIMA,An. gambiae,Female,Fed,2,Mouth Aspiration,Indoors,An. gambiae s.s,Negative,Not done,
59,2019,July,Baringo,MARIGUT,Emining,KABIWAKULIMA,An. funestus,Female,Fed,4,Mouth Aspiration,Indoors,An. funestus s.s,Negative,Not done,
60,2019,July,Baringo,MARIGUT,Emining,KABIWAKULIMA,An. gambiae,Female,Fed,4,Mouth Aspiration,Indoors,An. arabiensis,Negative,Not done,
61,2019,July,Baringo,MARIGUT,Emining,KABIWAKULIMA,An. funestus,Female,Fed,4,Mouth Aspiration,Indoors,An. funestus s.s,Negative,Not done,
62,2019,July,Baringo,BARINGO N,Barwessa,KIPTOLELYO,An. funestus,Female,Unfed,3,Light Trap,Indoors,An. funestus s.s,Negative,Not applicable,
63,2019,July,Baringo,BARINGO N,Barwessa,KIPTOLELYO,An. gambiae,Female,Unfed,3,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
64,2019,July,Baringo,BARINGO N,Barwessa,KIPTOLELYO,An. funestus,Female,Unfed,3,Light Trap,Indoors,An. funestus s.s,Negative,Not applicable,
65,2019,July,Baringo,BARINGO N,Barwessa,KIPTOLELYO,An. funestus,Female,Unfed,5,Light Trap,Indoors,An. leesoni,Negative,Not applicable,
66,2019,July,Baringo,BARINGO N,Barwessa,KIPTOLELYO,An. gambiae,Female,Unfed,1,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not applicable,
67,2019,July,Baringo,BARINGO N,Barwessa,KIPTOLELYO,An. gambiae,Female,Unfed,5,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not applicable,
68,2019,July,Baringo,BARINGO N,Barwessa,KIPTOLELYO,An. gambiae,Female,Unfed,5,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not applicable,
69,2019,July,Baringo,BARINGO N,Barwessa,KIPTOLELYO,An. funestus,Female,Unfed,3,Pyrethrum Spray Catch,Indoors,An. leesoni,Negative,Not applicable,
70,2019,July,Baringo,BARINGO N,Barwessa,KIPTOLELYO,An. gambiae,Female,Unfed,3,Mouth Aspiration,Indoors,An. arabiensis,Negative,Not applicable,
71,2019,July,Baringo,BARINGO N,Barwessa,KIPTOLELYO,An. gambiae,Female,Unfed,3,Mouth Aspiration,Indoors,An. arabiensis,Negative,Not applicable,
72,2019,July,Baringo,BARINGO N,Barwessa,KIPTOLELYO,An. gambiae,Female,Unfed,3,Mouth Aspiration,Indoors,An. arabiensis,Negative,Not applicable,
73,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. gambiae s.s,Negative,Not applicable,
74,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
75,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
76,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
77,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
78,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. funestus,Female,Unfed,4,Light Trap,Indoors,An. leesoni,Negative,Not applicable,
79,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
80,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
81,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
82,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
83,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
84,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
85,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
86,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
87,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
88,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
89,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
90,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. funestus,Female,Unfed,4,Light Trap,Indoors,An. funestus s.s,Negative,Not applicable,
91,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
92,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
93,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
94,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
95,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
96,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
97,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
98,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
99,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
100,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
101,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
102,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
103,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
104,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
105,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
106,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
107,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
108,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
109,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
110,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
111,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. funestus,Female,Unfed,4,Light Trap,Indoors,An. funestus s.s,Negative,Not applicable,
112,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. funestus,Female,Unfed,4,Light Trap,Indoors,An. leesoni,Negative,Not applicable,
113,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
114,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
115,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
116,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
117,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
118,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
119,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
120,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
121,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
122,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
123,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
124,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
125,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
126,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
127,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
128,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
129,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
130,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
131,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
132,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
133,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. funestus,Female,Unfed,4,Light Trap,Indoors,An. funestus s.s,Negative,Not applicable,
134,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. funestus,Female,Unfed,4,Light Trap,Indoors,An. funestus s.s,Negative,Not applicable,
135,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
136,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
137,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
138,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
139,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
140,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
141,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
142,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
143,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
144,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
145,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Fed,2,Pyrethrum Spray Catch,Indoors,Not Amplify,Negative,Not done,
146,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Fed,2,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not done,
147,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Fed,1,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not done,
148,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Fed,1,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not done,
149,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not applicable,
150,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Pyrethrum Spray Catch,Indoors,An. arabiensis,Negative,Not applicable,
151,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Mouth Aspiration,Indoors,An. arabiensis,Negative,Not applicable,
152,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Mouth Aspiration,Indoors,An. arabiensis,Negative,Not applicable,
153,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Mouth Aspiration,Indoors,An. arabiensis,Negative,Not applicable,
154,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Mouth Aspiration,Indoors,An. arabiensis,Negative,Not applicable,
155,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Mouth Aspiration,Indoors,An. arabiensis,Negative,Not applicable,
156,2019,July,Baringo,BARINGO N,Kabartonjo,KALEL,An. gambiae,Female,Unfed,4,Mouth Aspiration,Indoors,An. arabiensis,Negative,Not applicable,
157,2019,July,Baringo,,,,An. gambiae,Female,Unfed,4,Mouth Aspiration,Indoors,An. arabiensis,Negative,Not applicable,
158,2018,June,Baringo,BARINGO SOUTH,Marigat,KAMARMAR,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
159,2018,June,Baringo,BARINGO SOUTH,Marigat,KAMARMAR,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
160,2018,June,Baringo,BARINGO SOUTH,Marigat,KAMARMAR,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
161,2018,June,Baringo,BARINGO SOUTH,Marigat,KAMARMAR,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
162,2018,June,Baringo,BARINGO SOUTH,Marigat,KAMARMAR,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
163,2018,June,Baringo,BARINGO SOUTH,Marigat,KAMARMAR,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
164,2018,June,Baringo,BARINGO SOUTH,Marigat,KAMARMAR,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
165,2018,June,Baringo,BARINGO SOUTH,Marigat,KAMARMAR,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. gambiae s.s,Negative,Not applicable,
166,2018,June,Baringo,BARINGO SOUTH,Marigat,KAMARMAR,An. gambiae,Female,Unfed,1,Light Trap,Indoors,Not Amplify,Negative,Not applicable,
167,2018,June,Baringo,BARINGO SOUTH,Marigat,KAMARMAR,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
168,2018,June,Baringo,BARINGO SOUTH,Marigat,KAMARMAR,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
169,2018,June,Baringo,BARINGO SOUTH,Marigat,KAMARMAR,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
170,2018,June,Baringo,BARINGO SOUTH,Marigat,KAMARMAR,An. gambiae,Female,Unfed,1,Light Trap,Indoors,An. arabiensis,Negative,Not applicable,
